firing, ooo, mae,   me, ae,  vy_pos, vy_neg, vz_pos, vz_neg, wy_pos, wy_neg, wp_pos, wp_neg, wr_pos, wr_neg
1,      2,   178,   0,  0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0
2,      1,   250.5, 0,  0,   0,      0,      0,      0,      0,      0,      0,      0,      0,      0
3,      0,   0,     0,  2.8, 0,      0,      0,      0,      0,      0,      0,      0,      0,      0
4,      3,   0,     0,  0,   0,      0,      0,      0,      0,      0,      0.0087, 0.0087, 0,      0
5,      4,   0,     0,  15,  0,      0,      0,      0,      0,      0,      0,      0,      0,      0
